"id","platform","carousel","slide","stage","width","height","filename","path","headline","body","cta","qualifier","caption","alt","bytes"
"1","instagram","1","1","awareness","1080","1350","IG_01_Speak_It_Types_Where_You_Work.png","Instagram/01_Core_Voice/IG_01_Speak_It_Types_Where_You_Work.png","Speak. It types where you work.","Press Ctrl+Win, speak, press again. Clean text lands at your cursor.","Meet Mumble","","Your voice can be the first draft. Press Ctrl+Win, speak, press again—and Mumble pastes clean text at your cursor. #Mumble #VoiceToText #Windows","Mumble's gold waveform and floating Island flowing into a blinking text cursor on a black background.","605866"
"2","instagram","1","2","awareness","1080","1350","IG_02_Voice_To_Text_Follows_Your_Cursor.png","Instagram/01_Core_Voice/IG_02_Voice_To_Text_Follows_Your_Cursor.png","Voice-to-text that follows your cursor.","Dictate where you already write—email, chat, documents, or code.","Keep your workflow. Add voice.","","Mumble is a layer over the tools you already use. Dictate into email, chat, documents, or code without moving your work somewhere else. #Productivity #Dictation","A gold Mumble Island connected to four generic email, chat, document, and code windows.","686196"
"3","instagram","1","3","awareness","1080","1350","IG_03_One_Shortcut_One_Thought.png","Instagram/01_Core_Voice/IG_03_One_Shortcut_One_Thought.png","One shortcut. One thought. Done.","Ctrl+Win starts and stops everyday dictation.","Try the shortcut","","Press Ctrl+Win. Speak naturally. Press it again. That is Mumble's everyday dictation loop. Save the shortcut for later. #WindowsTips #VoiceTyping","An oversized Ctrl plus Win keycap above a gold waveform and a pasted-text confirmation.","602122"
"4","instagram","1","4","awareness","1080","1350","IG_04_Private_Starts_With_Local.png","Instagram/01_Core_Voice/IG_04_Private_Starts_With_Local.png","Private starts with local.","Local transcription is the default. Audio is processed on your PC unless you explicitly choose Cloud transcription.","Keep control","","Mumble starts with Local transcription. Your audio is processed on your PC unless you explicitly switch to Cloud transcription. Privacy begins with a clear default. #Privacy #LocalFirst","A gold waveform entering a computer chip protected by a green lock, with Local marked as the default.","630517"
"5","instagram","1","5","conversion","1080","1350","IG_05_Core_Dictation_Even_Offline.png","Instagram/01_Core_Voice/IG_05_Core_Dictation_Even_Offline.png","Core dictation, even offline.","With Local transcription selected and Pro Mode off, Mumble's core dictation workflow can stay offline.","Use Local mode","","Choose Local transcription and turn Pro Mode off when you want Mumble's core dictation workflow to stay offline. Clear controls, no vague promises. #OfflineTools #LocalAI","A Local mode switch, disconnected network icon, gold waveform, and text cursor showing an offline dictation path.","547536"
"6","instagram","1","6","conversion","1080","1350","IG_06_AI_Gets_Text_Not_Audio.png","Instagram/01_Core_Voice/IG_06_AI_Gets_Text_Not_Audio.png","AI polish gets the text—not the audio.","When cloud Pro Mode is enabled, Mumble sends transcript text to your chosen provider. Audio stays out of that polish step.","Choose how Mumble polishes","Requires a configured AI provider; provider charges may apply.","Cloud Pro Mode sends transcript text—not audio—to the AI provider you choose. Mumble keeps transcription and AI polish as separate, understandable steps. #PrivacyByDesign #AIWriting","A waveform remains behind a lock while only a text document travels to a provider-neutral AI chip.","648065"
"7","instagram","2","1","consideration","1080","1350","IG_07_Meet_The_Deck.png","Instagram/02_Deck_and_Control/IG_07_Meet_The_Deck.png","Meet the Deck.","Search transcripts, clipboard history, saved prompts, and favourites in one pinned workspace.","Everything, one shortcut away","","The Deck brings transcripts, clipboard history, saved prompts, and favourites into one searchable workspace. Open it with Ctrl+Alt+D. #ProductivityTools #Mumble","A black-and-gold Mumble Deck with search, transcript, clipboard, prompt, and favourite sections.","733468"
"8","instagram","2","2","consideration","1080","1350","IG_08_Your_Clipboard_Has_A_Memory.png","Instagram/02_Deck_and_Control/IG_08_Your_Clipboard_Has_A_Memory.png","Your clipboard has a memory.","Mumble can retain copied text and images in searchable clipboard history.","Find what you copied","","Copied text and images do not have to disappear into clipboard limbo. Mumble can retain them in searchable clipboard history inside the Deck. #ClipboardManager #WindowsApps","Stacked clipboard cards containing text and abstract image thumbnails inside Mumble's Deck.","630219"
"9","instagram","2","3","consideration","1080","1350","IG_09_25_Ways_To_Work_With_Text.png","Instagram/02_Deck_and_Control/IG_09_25_Ways_To_Work_With_Text.png","25 ways to work with text.","Summarise, Focus, Reply, Action items and more—plus five custom preset slots.","Pick a preset. Press Go.","AI transformations require a configured provider or compatible local model; provider charges may apply.","Mumble includes 20 built-in presets—from Summarise and Focus to Reply and Action items—plus five custom slots for your own workflows. #WritingTools #AIPrompts","A five-by-five grid of glass preset chips, including Summarise, Focus, Reply, Action items, and Custom.","607063"
"10","instagram","2","4","consideration","1080","1350","IG_10_Highlight_Capture_Transform.png","Instagram/02_Deck_and_Control/IG_10_Highlight_Capture_Transform.png","Highlight it. Capture it. Transform it.","Pull selected text from another app into the Deck, then run a preset or action.","Open the Deck","AI transformations require a configured provider or compatible local model; provider charges may apply.","Highlight text in another app, capture it into the Deck, then run the preset or action you need. Existing text becomes useful input. #Workflow #TextTools","Highlighted text moving through a Capture button into a Mumble preset and polished result.","561580"
